id,english_text,human_bengali_reference
1,"And remember We took your covenant ( to this effect ) : Shed no blood amongst you , nor turn out your own people from your homes : and this ye solemnly ratified , and to this ye can bear witness .","যখন আমি তোমাদের কাছ থেকে অঙ ্ গীকার নিলাম যে , তোমরা পরস ্ পর খুনাখুনি করবে না এবং নিজেদেরকে দেশ থেকে বহিস ্ কার করবে না , তখন তোমরা তা স ্ বীকার করেছিলে এবং তোমরা তার সাক ্ ষ ্ য দিচ ্ ছিলে ।"
2,And for the good-will of thy Lord be thou patient .,এবং আপনার পালনকর ্ তার উদ ্ দেশে সবর করুন ।
3,You wouldn’t think that they have anything in common but they do. They both have cancer and they both have blogs describing their fight with the disease.,"আপনাদের হয়ত মনে হতে পারে এদের দুজনের মধ্য কোন মিল নেই, কিন্তু বাস্তবে উভয়ের মধ্যে একটি মিল রয়েছে, তা হল উভয়ের শরীরে ক্যান্সার বাসা বেঁধেছে এবং তারা উভয়ে ক্যান্সারের বিরুদ্ধে কি ভাবে লড়ছে, ব্লগের মাধ্যমে সে কথা জানাচ্ছে।"
4,"This was the announcement given last Thursday June 28 by the Arcoiris Project, a Cuban group that defines themselves as an ""independent and anti-capitalist LGBT collective,"" which is demanding that homosexual parents be legally recognized and transsexuality not be considered a disease, among other requests.","” গত ২৮ জুন বৃহস্পতিবার আরকয়রিস প্রজেক্ট নামে এক কিউবান গোষ্ঠী যারা নিজেদের একটি “স্বাধীন ও পুঁজিবাদবিরোধী এলজিবিটি সংগঠন” বলে দাবি করেছে, এভাবে অন্যান্য অনুরোধের সাথে তারা চাইছে যে সমকামী অভিভাবকদের স্বীকৃতি দেয়া হোক এবং বহুগামিতাকে কোন রোগ হিসেবে যাতে না মনে করা হয়।"
5,My blood sugar's real low.,ব্লাড সুগার একদম লো.
6,"We needed blood, much, much blood.",একটা টেবিল আর টুল নিয়ে বাইরে বসা হয়েছে।
7,Are you ready to go to the hospital now?,আপনি এখন হাসপাতালে যেতে প্রস্তুত?
8,"So We sent upon them the flood and locusts and lice and frogs and blood as distinct signs , but they were arrogant and were a criminal people .","সুতরাং আমি তাদের উপর পাঠিয়ে দিলাম তুফান , পঙ ্ গপাল , উকুন , ব ্ যাঙ ও রক ্ ত প ্ রভৃতি বহুবিধ নিদর ্ শন একের পর এক । তারপরেও তারা গর ্ ব করতে থাকল । বস ্ তুতঃ তারা ছিল অপরাধপ ্ রবণ ।"
9,His heart is racing and his eyes are blood-shot.,তার হার্ট দ্রুত পাম্প হচ্ছে আর তার চোখ রক্তশূন্য হয়ে যাচ্ছে।
10,"I don't believe in medical aids either, its like playing a reality TV version of Fear Factor with a cash prize naturally.","আমি মেডিক্যাল সাহায্যেও বিশ্বাস করি না, এটা যেন ফিয়ার ফ্যাক্টরের টেলিভিশন সংস্করণ দেখা একটা আর্থিক পুরষ্কার সহ অবশ্যই।"
11,Symptom script %s did not determine an affected package,উপসর্গ স্ক্রিপ্ট %s প্রভাবিত প্যাকেজ নির্ধারণ করেনি
12,I came here to do health education and I’m going to try and do it.,আমি এখানে এসেছিলাম স্বাস্থ্য সম্পর্কে শিক্ষাদান করতে এবং আমি তা করতে চেষ্টা করে যাচ্ছি এবং করি।
13,"If a woman fears either ill-treatment or aversion from her husband it is not wrong for the husband and wife to bring about reconciliation among themselves ( by compromising on their rights ) , for settlement is better . Man 's soul is always prone to selfishness , but if you do good and are God-fearing , then surely Allah is aware of the things you do .","যদি কোন নারী স ্ বীয় স ্ বামীর পক ্ ষ থেকে অসদাচরণ কিংবা উপেক ্ ষার আশংকা করে , তবে পরস ্ পর কোন মীমাংসা করে নিলে তাদের উভয়ের কোন গোনাহ নাই । মীমাংসা উত ্ তম । মনের সামনে লোভ বিদ ্ যমান আছে । যদি তোমরা উত ্ তম কাজ কর এবং খোদাভীরু হও , তবে , আল ্ লাহ তোমাদের সব কাজের খবর রাখেন ।"
14,He's losing too much blood.,তার অনেক ব্লিডিং হচ্ছে.
15,"Doctor, I think it's time we showed Gru what we're up to here.","ডক্টর, গ্রূ'কে আমাদের প্ল্যান জানানোর সময় হয়েছে."
16,"Iran Voices categorizes the news under different headings such as economics, health, culture, sports and education.","ইরান ভয়েসেস সংবাদগুলোকে বিভিন্ন শ্রেণী যেমন অর্থনীতি, স্বাস্থ্য, সংস্কৃতি, ক্রীড়া ও শিক্ষা ইত্যাদি শিরোনামে ভাগ করে।"
17,"and be patient over what they say , and distance yourself from them in a graceful manner .","কাফেররা যা বলে , তজ ্ জন ্ যে আপনি সবর করুন এবং সুন ্ দরভাবে তাদেরকে পরিহার করে চলুন ।"
18,"Sharmila, 44, had intended to stay in a local Manipur colony after being discharged from the hospital, where she had been kept detained and force-fed through a tube in her nose on the basis of a law that prohibits suicide.","সে হাসপাতাল থেকে ছাড়া পাবার পর, ৪৪ বছর বয়স্ক শর্মিলা মনিপুরের স্থানীয় একটি কলোনিতে থাকার আগ্রহ প্রকাশ করেছিলেন।"
19,His limbs are to be cut off and his blood should flow!,ওর হাত পা কেটে শরীরের সব রক্ত বয়ে যাক!
