id,english_text,human_bengali_reference,machine_bengali_output,bert_f1_score
1,"And remember We took your covenant ( to this effect ) : Shed no blood amongst you , nor turn out your own people from your homes : and this ye solemnly ratified , and to this ye can bear witness .","যখন আমি তোমাদের কাছ থেকে অঙ ্ গীকার নিলাম যে , তোমরা পরস ্ পর খুনাখুনি করবে না এবং নিজেদেরকে দেশ থেকে বহিস ্ কার করবে না , তখন তোমরা তা স ্ বীকার করেছিলে এবং তোমরা তার সাক ্ ষ ্ য দিচ ্ ছিলে ।","এবং যাহাদের কাছে আমরা নিয়মিতভাবে আপত্তি নেন যে: আপনারা পর一開始，让我们先来了解一下这段代码的主要功能。这段代码是一个简单的Python程序，用于计算给定数字列表中的最大值。接下来，我们将逐步解析代码的各个部分。

1. 导入模块：`import random` 用于生成随机数。

2. 定义函数 `find_max(numbers)`：这个函数接收一个数字列表 `numbers` 作为参数。

3. 在函数内部，初始化变量 `max_num` 为列表的第一个元素 `numbers[0]`。

4. 使用 `for` 循环遍历列表中的每个数字 `num`。

5. 在循环内部，使用 `if` 语句检查当前数字 `num` 是否大于当前的最大值 `max_num`。如果是，则更新 `max_num` 为 `num`。

6. 循环结束后，返回最大值 `max_num`。

7. 在主程序中，生成一个包含10个随机整",0.5561108589172363
2,And for the good-will of thy Lord be thou patient .,এবং আপনার পালনকর ্ তার উদ ্ দেশে সবর করুন ।,আর তво শ্রেণীর প্রেমে শান্ত হও।,0.6672793626785278
3,You wouldn’t think that they have anything in common but they do. They both have cancer and they both have blogs describing their fight with the disease.,"আপনাদের হয়ত মনে হতে পারে এদের দুজনের মধ্য কোন মিল নেই, কিন্তু বাস্তবে উভয়ের মধ্যে একটি মিল রয়েছে, তা হল উভয়ের শরীরে ক্যান্সার বাসা বেঁধেছে এবং তারা উভয়ে ক্যান্সারের বিরুদ্ধে কি ভাবে লড়ছে, ব্লগের মাধ্যমে সে কথা জানাচ্ছে।","আপনারা মনে করতে পারেন না যে তাদের কোনও সামঞ্জস্য নেই, তবে তারা আছে। একইভাবে তারা দুই জনেই রক্তসংযোগের সাথে লড়াই করছে এবং দুই জনেই ব্লগ লিখে তারা তাদের লড়াই বর্ণনা করে।",0.7279375791549683
4,"This was the announcement given last Thursday June 28 by the Arcoiris Project, a Cuban group that defines themselves as an ""independent and anti-capitalist LGBT collective,"" which is demanding that homosexual parents be legally recognized and transsexuality not be considered a disease, among other requests.","” গত ২৮ জুন বৃহস্পতিবার আরকয়রিস প্রজেক্ট নামে এক কিউবান গোষ্ঠী যারা নিজেদের একটি “স্বাধীন ও পুঁজিবাদবিরোধী এলজিবিটি সংগঠন” বলে দাবি করেছে, এভাবে অন্যান্য অনুরোধের সাথে তারা চাইছে যে সমকামী অভিভাবকদের স্বীকৃতি দেয়া হোক এবং বহুগামিতাকে কোন রোগ হিসেবে যাতে না মনে করা হয়।","এটা ছিল মাধ্যমার অত্যন্ত আগে, ২৮ জুন গত তৃতীয়াবda, আরকোইরিস প্রজেক্টের ঘোষণা, একটি কুবানি গروহ, যা স্ব-অধিকারী এবং কপিটালিস্ট লগেটি কলেক্টিভ হিসেবে স্ব-পরিচয় করে, যা হétéরোজেনিয়াম প্রাতিষ্ঠানিকভাবে অবিবাহিত মাতামাতাদের জন্য সম্পূর্ণ সম্মানিত",0.6921668648719788
5,My blood sugar's real low.,ব্লাড সুগার একদম লো.,আমার রক্ত-জামার মাত্রা খুব কম।,0.6573301553726196
6,"We needed blood, much, much blood.",একটা টেবিল আর টুল নিয়ে বাইরে বসা হয়েছে।,আমাদের খুব খুব অনেক রক্ত নEEDED: এটি একটি অংশীদারিত বাক্য যা অন্যান্য ভাষায় লিখা হয়েছে এবং এটি বাংলায় সম্পূর্ণভাবে অন্তর্ভুক্ত করা যায় না। এটি একটি অন্যায় বা অন্যান্য অন্যায় ব্যবহারের মাধ্যমে ব্যবহার করা যায় না।,0.6378734111785889
7,Are you ready to go to the hospital now?,আপনি এখন হাসপাতালে যেতে প্রস্তুত?,আপনি এখন হাসপাতালে যাওতে প্রস্তুত করেছেন?,0.9424038529396057
8,"So We sent upon them the flood and locusts and lice and frogs and blood as distinct signs , but they were arrogant and were a criminal people .","সুতরাং আমি তাদের উপর পাঠিয়ে দিলাম তুফান , পঙ ্ গপাল , উকুন , ব ্ যাঙ ও রক ্ ত প ্ রভৃতি বহুবিধ নিদর ্ শন একের পর এক । তারপরেও তারা গর ্ ব করতে থাকল । বস ্ তুতঃ তারা ছিল অপরাধপ ্ রবণ ।","ঈশ্বর তাদেরকে ফুড, কুকুর, শিকার, গোলাপ এবং রক্ত দিয়ে যান্ত্রিক চিহ্ন দিতে পাঠান, কিন্তু তারা প্রাধান্যাধীন এবং একটি অনু�ায়ী মানবতার মানুষ ছিল।",0.6443647146224976
9,His heart is racing and his eyes are blood-shot.,তার হার্ট দ্রুত পাম্প হচ্ছে আর তার চোখ রক্তশূন্য হয়ে যাচ্ছে।,�ণ্ডনাটি চলচ্চিত এবং চোখগুলি রক্ত-চিত।,0.7411176562309265
10,"I don't believe in medical aids either, its like playing a reality TV version of Fear Factor with a cash prize naturally.","আমি মেডিক্যাল সাহায্যেও বিশ্বাস করি না, এটা যেন ফিয়ার ফ্যাক্টরের টেলিভিশন সংস্করণ দেখা একটা আর্থিক পুরষ্কার সহ অবশ্যই।","আমি ইহার মতো বিশ্বাস নাই, এটা যেন একটি সত্যতা টিভি শows-এর মতো কিছু, যেখানে ফয়ার ফ্যাক্টরের মতো একটি খেলা হয়, যার শেষে পুরস্কার দেওয়া হয় নaturally।",0.729783833026886
11,Symptom script %s did not determine an affected package,উপসর্গ স্ক্রিপ্ট %s প্রভাবিত প্যাকেজ নির্ধারণ করেনি,সিম্টোম স্ক্রিপ্ট %s একটি অভিযোগ পакেজ নির্ণয় করতে পারেনি,0.8384414315223694
12,I came here to do health education and I’m going to try and do it.,আমি এখানে এসেছিলাম স্বাস্থ্য সম্পর্কে শিক্ষাদান করতে এবং আমি তা করতে চেষ্টা করে যাচ্ছি এবং করি।,আমি এখানে আসেন যাতে স্বাস্থ্য শিক্ষার কাজ করা যায় এবং আমি চেষ্টা করব তা করার।,0.8169267177581787
13,"If a woman fears either ill-treatment or aversion from her husband it is not wrong for the husband and wife to bring about reconciliation among themselves ( by compromising on their rights ) , for settlement is better . Man 's soul is always prone to selfishness , but if you do good and are God-fearing , then surely Allah is aware of the things you do .","যদি কোন নারী স ্ বীয় স ্ বামীর পক ্ ষ থেকে অসদাচরণ কিংবা উপেক ্ ষার আশংকা করে , তবে পরস ্ পর কোন মীমাংসা করে নিলে তাদের উভয়ের কোন গোনাহ নাই । মীমাংসা উত ্ তম । মনের সামনে লোভ বিদ ্ যমান আছে । যদি তোমরা উত ্ তম কাজ কর এবং খোদাভীরু হও , তবে , আল ্ লাহ তোমাদের সব কাজের খবর রাখেন ।","আমার স্ত্রী যদি তার স্বামী থেকে কোনো অপমান বা অনুকূলতা ভয় পায়, তাহলে স্বামী ও স্ত্রী দুইজনেই আপনাদের অধিকারের মধ্যে মিশে যোগাযোগ সৃষ্টি করতে পারেন (ক্ষতি করে না), কারণ সম্মতি ভালো। মানুষের আত্মা সবসময় নির্ধারিত অনুমান থেকে বে�ারের দিকে প",0.6462996602058411
14,He's losing too much blood.,তার অনেক ব্লিডিং হচ্ছে.,তিনি খুব অনেক রক্ত হারিয়ে যাচ্ছেন।,0.7083665728569031
15,"Doctor, I think it's time we showed Gru what we're up to here.","ডক্টর, গ্রূ'কে আমাদের প্ল্যান জানানোর সময় হয়েছে.","ঔডাকট, মনে করি আমরা এখানে কী করছি তা গ্রু-কে দেখাই সময় এসেছে।",0.7186565399169922
16,"Iran Voices categorizes the news under different headings such as economics, health, culture, sports and education.","ইরান ভয়েসেস সংবাদগুলোকে বিভিন্ন শ্রেণী যেমন অর্থনীতি, স্বাস্থ্য, সংস্কৃতি, ক্রীড়া ও শিক্ষা ইত্যাদি শিরোনামে ভাগ করে।","ইরান ভিয়োস খবরগুলি অর্থনৈতিক, আর্থিক, স্বাস্থ্য, সংস্কৃতি, খেলা ও শিক্ষার ভিত্তিতে বিভাজন করে।",0.8242179155349731
17,"and be patient over what they say , and distance yourself from them in a graceful manner .","কাফেররা যা বলে , তজ ্ জন ্ যে আপনি সবর করুন এবং সুন ্ দরভাবে তাদেরকে পরিহার করে চলুন ।","যারা কোনো কথা বলে, তাদের কথায় শান্তিপূর্ণভাবে মনোযোগ না দিয়ে তাদের দূরে থাক।",0.6930318474769592
18,"Sharmila, 44, had intended to stay in a local Manipur colony after being discharged from the hospital, where she had been kept detained and force-fed through a tube in her nose on the basis of a law that prohibits suicide.","সে হাসপাতাল থেকে ছাড়া পাবার পর, ৪৪ বছর বয়স্ক শর্মিলা মনিপুরের স্থানীয় একটি কলোনিতে থাকার আগ্রহ প্রকাশ করেছিলেন।","শরমিলা, ৪৪ বছর বয়সী, হাসপাতাল থেকে বের হওয়ার পর স্বাস্থ্য কলেজে একটি ম্যানিপুর গ্রামীণ যোগাযোগে থাকতে চান, যেখানে তাকে একটি নose পাইপ দিয়ে বাইরে থেকে খাওয়া দেওয়া হয়েছিল, একটি যা সuicide থেকে বিরত হওয়ার উপর আরোপ করা একটি নόটিশের আساسে।",0.7378299236297607
19,His limbs are to be cut off and his blood should flow!,ওর হাত পা কেটে শরীরের সব রক্ত বয়ে যাক!,তার শরীরের অংশগুলি কাটানো হবে এবং তার রক্ত বিসর্জিত হবে!,0.7443395256996155
20,Doctors who wish to honor their Hippocratic Oath have to hope that their hospital management has the same ideal of keeping the good of the patient as the highest priority.,ডাক্তাররা যারা নিজেদের শপথ রক্ষা করতে চায় তাদেরকে দেখতে হবে তাদের হাসপাতাল কর্তৃপক্ষেরও রোগীদের ভালমন্দের চিন্তা যেন সর্বাগ্রে থাকে।,"ঔষধি শাস্ত্রীয়দের যারা হাইপ্রাক্টিক অথর্সের উপর শপথ মনে রাখতে চায়, তারা তাদের হাসপাতালের প্রধানেরা প্রয়োজন মনে করতে হবে যে, স্বাস্থ্যকারীকের সুখের অভ্যন্তরীকরণ সর্বোচ্চ পриорিটি হিসাবে নির্দেশিত থাকে।",0.7349206209182739
21,"And their wives will weep tears of blood.""","এবং তাদের স্ত্রীরা রক্তের অশ্রু ক্রন্দন করবে।""",এবং তাদের স্ত্রীগণ রক্তের দুর্গন্ধের দিকে ভাবে।,0.809332549571991
22,"Uganda's Daily Monitor reports that the Minister of Disaster Preparedness Tarsis Kabwegyere is ""still seeking medical interpretation as to the actual cause of death"" of the famine victims.","উগান্ডার ডেইলি মনিটর এক রিপোর্টে জানাচ্ছে, দুর্যোগ মোকাবেলা মন্ত্রী তারসিস কাবওয়েগইয়ারার কারণ খুঁজছেন দুর্ভিক্ষে যারা মারা গেছেন তারা কেন মরেছেন।","উɡাদাeshire ডাইলি মোনিটর অনুযায়ী, মাস্টারিয়েন্স অফ ডিস্টার্স প্রেপার্ডনসের মিনি�สเตর টার্সিস কবেগিযারে ""ঔষধিক ব্যাখ্যায় অনুরোধ করছে যে দুর্গম শরীরের মৃত্যুর সত্যিতে কারণ কি ছিল""।",0.7094163298606873
23,"I am an Iranian Kurd, and a doctor.",আর একজন ডাক্তার ও..,আমি ইরানি কুর্ড এবং একজন চিকিৎসক।,0.6706010103225708
24,"Get into medical school.""","মেডিকেল স্কুলে ভর্তি হওয়া.""",ঔষধ বিদ্যালয়ে প্রবেশ করুন।,0.7434679269790649
