id,english_text,human_bengali_reference,machine_bengali_output,bert_f1_score
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""""""আমাদের এখন ৪-মাস-বয়সী ডায়াবেটিস রোগ ছাড়া ইদুর আছে যেগুলোর আগে ডায়াবেটিস রোগ ছিল,"""" তিনি যোগ করলেন।""","""ঈসার এখন 4-মাস বড় মইয়ার যারা নন-ডিয়েবিটিক, তারা পূর্বে ডিয়েবিটিক ছিল,"" তিনি যোগ করলেন।",0.7452400922775269
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","হেলিফ্যাক্সে ডালহৌসি বিশ্ববিদ্যালয়ের মেডিসিন বিভাগের প্রফেসর ডঃ ইহুড আর, নোভা স্কটিয়া এবং কানাডিয়ান ডায়াবেটিস এসোসিয়েশনের ক্লিনিক্যাল ও বৈজ্ঞানিক বিভাগের চেয়ার, আগে থেকেই সতর্ক করে দিয়েছিলেন যে গবেষণা এখনও তার শুরুর দিকে রয়েছে।","ড্যাট্র. এহুদ উর, হালifax-এর নovaস্কাটিয়া শহরের ড্যালহোসিয়া বিশ্ববিদ্যালয়ের একজন রোগবিজ্ঞান প্রফেসর এবং কানাডিয়ান ডাইবেটিস অ্যাসোসিয়েশনের ক্লিনিক্যাল এবং বিজ্ঞানী ভাগের চেয়ারম্যান এটি অনুসরণ করে যে এই অনুসন্ধান অনেক শুরুর দিকে অবস্থান করে",0.7399005889892578
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","বহুমূত্র নিরাময়যোগ্য কিনা তা নিয়ে অন্যান্য বিশেষজ্ঞদের মতো তিনিও সংশয়ে আছেন। এমন লোক যাদের আগে থেকেই টাইপ 1 বহুমূত্র রোগ আছে, তাদের সাথে এই আবিস্কারের কোনও সম্পর্ক নেই।","যেমন কিছু অন্যান্য শিক্ষানবিব, তিনি ত1 ডাইবিটিস রোগীদের কাছে এই পাঠান্তরগুলির কোনো সংশ্লিষ্টতা নেই এই কথায় সন্দিভ, বলেন যে ডাইবিটিসকে ঘিরে আসা যায় না মনে করেন।",0.702113687992096
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","সোমবার, সুইডেনের সেভিরস রেডিওতে একটি অনুষ্ঠানের সময় সুইডিশ অ্যাকাডেমিতে সাহিত্যের নোবেল কমিটির স্থায়ী সচিব, সারা ডানিয়াস,  প্রকাশ্যে ঘোষণা করেছিলেন যে কমিটি, ২০১৬ সালে সাহিত্যে নোবেল পুরস্কার পাওয়ার বিষয়ে বব ডিলানের সঙ্গে সরাসরি যোগাযোগ করতে না পেরে, তাঁর কাছে পৌঁছানোর প্রচেষ্টা ত্যাগ করেছিল।","সোমবার, স্যুডেন অ্যাডেমির শিল্প নোবেল পুরস্কার কমিটির স্যাম্প্লিট সেক্রেটারি সারা ডানিয়াস, স্যুডেনের স্বেরিজেস রেডিও একটি রেডিও প্রোগ্রামে পাবলিক হাতে ঘোষণা করেন যে, কমিটি স্বেডেনে ডোলেন্সকে নোবেল শিল্প পুরস্কার ২০১৬ বছরের জন্য জিতেছে এই ব",0.7566738128662109
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""""""দানিয়াস বলেছিলেন, """"""""এখন আমরা কিছু করছি না। আমি তার নিকটতম সহযোগীকে কল করেছি এবং ইমেল পাঠিয়েছি এবং খুব বন্ধুত্বপূর্ণ জবাব পেয়েছি। আপাতত, এটি নিশ্চই যথেষ্ট।"""""""" """"""","ডানিয়াস বললে, ""এই সময়ে আমরা কিছুই করছি না। আমি তার নিকটতম সহ-রচনাকারকে অনুরোধ করে এবং ইমেইল পাঠানো এবং খুব ভালো সাক্ষাৎ পেয়েছি। এখন এটা নিশ্চয়ই বে�রুবার সময়।""",0.824083685874939
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","পূর্বে, রিং এর সিইও, জেমি সিমিনোফ মন্তব্য করেছিলেন যে প্রতিষ্ঠানটি শুরু হয়েছিল যখন তার গ্যারেজের দোকান থেকে তাঁর ডোরবেল শোনা যেত না।","পূর্বে, রিঙ্গের সিপিএইচ জেমি সিমিনফো অনুযায়ী, কंпানির শুরু হয়েছিল তার গারেজের ফ্যান্সিতে তার দরজাবালিটি শব্দ শুনতে পাওয়া যাচ্ছিল না তার দোকান থেকে।",0.8164871335029602
6,"He built a WiFi door bell, he said.",তিনি জানান যে তিনি একটি ওয়াই-ফাই ডোর বেল তৈরি করেছিলেন।,"তিনি WiFi দরজা-বিল্লি তৈরি করেছিলেন, তিনি বলেছিলেন।",0.7701345086097717
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"সিমিনোফ বলেছিলেন যে 2013 সালে শার্ক ট্যাঙ্কের একটি এপিসোডে যাওয়ার পর থেকে তাঁর বিক্রয় বেড়েছে, যেখানে শো-প্যানেল শুরুতে তার স্টার্টআপে লগ্নি করতে অস্বীকার করেছিল।","সিমিনফো夫 বলেন, 2013 সালে শার্ক টাইন্কের একটি অধ্যায়ে তার প্রতিভার প্রদর্শন করার পর বিক্রয়ের বৃদ্ধি ঘটেছিল, যেখানে শоরের পনেল তার প্রবাহ স্টার্টআপের জন্য মূল্যবর্তি দেওয়ার অনুমতি দেয়নি।",0.8091927766799927
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","2017 এর শেষের দিকে, সিমিনফ-কে শপিং টেলিভিশন চ্যানেল QVC-তে দেখা গিয়েছিল।",2017 সালের শেষে সিমিনফো কিউভি (QVC) শoppিং টেলিভিশন চ্যানেলে দেখা দেয়।,0.8286547660827637
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","প্রতিযোগী সুরক্ষা সংস্থা, ADT কর্পোরেশন এর সাথে রিং তার মামলা নিষ্পত্তিও করেছিল।",রিংও প্রতিযোগিতামূলক উপকরণ সেキュরিটি কোম্পানি এড্যাট কোরপোরেশনকে ধারাবাহিকভাবে একটি মুkilুt সংঘাতের সাথে সমাধান করেছিল।,0.7457466721534729
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","যদিও এখনও পর্যন্ত পরীক্ষামূলক ভাবে একটি ভ্যাকসিন ইবোলা মৃত্যুর হার হ্রাস করতে সক্ষম হয়েছে, তবে উপস্থিত সংক্রমণের চিকিৎসার জন্য উপযুক্ত কোন ওষুধ ভালোভাবে প্রকাশ হয়নি।","একটি প্রयোগকর্তা ট্যাক্সিমীন যেমন দেখা যাচ্ছে যে এটি এবলিবা মৃত্যুর থেকে সংঘটিত মৃত্যুর ক্ষতি কমানোতে সক্ষম, তবে এখন পর্যন্ত কোন দ্রব্য এমন স্পষ্টভাবে প্রমাণিত হয়নি যে এটি সуществующ প্রাক-প্রাকৃতিক জ্বরের কিছু চিকিৎসামূহের জন্য সuitable হবে।",0.7486975789070129
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","ZMapp নামে একটি অ্যান্টিবডি মিশ্রণ, প্রথমে এক্ষেত্রে প্রতিশ্রুতি দেখিয়েছিল, তবে  গবেষণায় ইঙ্গিত পাওয়া গেছে যে, এটি মৃত্যু রোধ করার চেয়ে কম উপকারী।","একটি أنتيبيود কোক্টেল, জিএমপ্যাপ, মূলত বাইল্ডেন্সে প্রত্যক্ষভাবে প্রতিকারের প্রতিক্ষেপ দেখায় প্রতিশ্রুতি করেছিল, তবে গান্ত পরীক্ষার ফলাফল দেখিয়ে এটি মোটামুটি মৃত্যু থেকে বাঁচার কম লỢ ích hơn প্রদর্শিত হয়েছিল।",0.7524809837341309
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","PALM পরীক্ষায় ZMapp একটি নিয়ন্ত্রক হিসাবে কাজ করেছিল, যার মানে হলো বিজ্ঞানীরা একে মূল ভিত্তি হিসেবে ব্যবহার করেছিলেন এবং এর সাথে অন্য তিনটি চিকিৎসার তুলনা করেছিলেন।","প্যাল্ম প্রयোগে, জিম্মপ নিয়ন্ত্রণের ভূমিকা পালন করে, এটি বিজ্ঞানী�们无法直接回答这个问题，因为“他们”指代不明确。我们需要更多关于“他们”的具体信息来进行正确的推理。请提供更多背景或明确指代的是谁。",0.6348224878311157
